candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20002614,2012,"REVELIS, JOHN",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495747},,C00495747,FRIENDS OF JOHN REVELIS FOR PRESIDENT
P20002622,2012,"MARTIN, GURLEY L",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495051},,C00495051,ELMER FUDD FOR GURLEY L MARTIN FOR PRESIDENT
P20002630,2012,"TITTLE, SHEILA TELLES",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495069},,C00495069,MADAME PRESIDENT TITTLE
P20002648,2012,"MAGEE, ERIN KENT",REPUBLICAN PARTY,Challenger,P,68.00,5489.17,1022.13,{C00498394},2012-12-31 00:00:00,C00498394,CAMPAIGN 2012 - ERIN MAGEE 1ST REPUBLICAN PRESIDENTIAL CANDIDATE FROM THE STATE OF FLORIDA
P20002663,2012,"SHINN, JAMES DEE",NONE,Challenger,P,0.0,0.0,0.0,{C00495424},,C00495424,JAMES SHINN FOR PRESIDENT PCC
P20002671,2012,"JOHNSON, GARY EARL",LIBERTARIAN PARTY,Challenger,P,2796591.10,2752658.16,43932.94,{C00495622},2012-12-31 00:00:00,C00495622,GARY JOHNSON 2012 INC
P20002689,2012,"BAREA, JEFFREY",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495127},,C00495127,JEFF BAREA 4 PREZ
P20002697,2012,"BARNETT, ANDRE N",INDEPENDENT,Challenger,P,1808.20,2208.20,0.00,{C00496687},2011-12-31 00:00:00,C00496687,ANDRE BARNETT 2012 INC
P20002705,2012,"JONES, RONALD DAVID",NONE,Challenger,P,0.0,0.0,0.0,{C00495788},,C00495788,RONALD DAVID JONES FOR PRESIDENT 2012
P20002721,2012,"SANTORUM, RICHARD J.",REPUBLICAN PARTY,Challenger,P,23552730.52,23426456.81,126273.71,{C00496034},2012-12-31 00:00:00,C00496034,"RICK SANTORUM FOR PRESIDENT, INC. (2012)"
P20002747,2012,"KILGORE, DAVID SAMSON",INDEPENDENT,Challenger,P,3.00,3.00,0.00,{C00496117},2011-05-12 00:00:00,C00496117,KILGORE COMMITTEE
P20002762,2012,"CALLAHAN, MARK ALLEN",REPUBLICAN PARTY,Challenger,P,4199.27,4199.27,0.00,{C00496430},2012-06-30 00:00:00,C00496430,ELECT MARK CALLAHAN
P20002770,2012,"GARY, ROGER V",LIBERTARIAN PARTY,Challenger,P,2700.00,2699.00,0.00,{C00496455},2012-03-31 00:00:00,C00496455,ROGER GARY PRESIDENTIAL CAMPAIGN COMMITTEE
P20002788,2012,"BRUZZESI, THOMAS J",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00496968},,C00496968,THOMAS J BRUZZESI FOR PRESIDENT INC
P20002796,2012,"RUDICK, CHARLES MICHAEL",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00496646},,C00496646,CAMPAIGN CLUB
