candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P40001455,1984,"BEAR, YOGI B",INDEPENDENT,,P,0.0,0.0,0.0,{C00177816},,C00177816,COMMITTEE TO GET YOGI B BEAR OUT OF THE DOG HOUSE AND INTO THE WHITE HOUSE
P40001463,1984,"STASSEN, HAROLD E",REPUBLICAN PARTY,,P,11246.00,11246.00,0.0,{C00181198},1984-09-30 00:00:00,C00181198,STASSEN FOR PRESIDENT REPUBLICAN COMMITTEE
P40001471,1984,"LAMB, BOBBIE JOE",INDEPENDENT,,P,1082.00,1077.00,0.0,{C00177832},1984-12-31 00:00:00,C00177832,BOB LAMB CAMPAIGN COMMITTEE
P40001489,1984,"DAVIS, ANGELA Y (V-P)",COMMUNIST PARTY,,P,216071.00,211948.00,0.0,{C00177782},1984-12-31 00:00:00,C00177782,NATIONAL HALL-DAVIS CAMPAIGN '84
P40001497,1984,"GRISER, ROBERT K",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00178574},,C00178574,NATIONAL CAMPAIGN SERVICES COMMITTEE
P40001505,1984,"JOHN, ANDREW",INDEPENDENT,,P,0.0,0.0,0.0,{C00178699},,C00178699,ANDREW JOHN FOR PRESIDENT ELECTION COMMITTEE
P40001521,1984,"GRIFFITH, MICHAEL LEE",DEMOCRATIC PARTY,,P,12.00,3.00,0.0,{C00179499},1984-12-31 00:00:00,C00179499,MICHAEL LEE GRIFFITH FOR UNITED STATES PRESIDENCY COMMITTEE
P40001539,1984,"CAMPBELL, GIL",UNKNOWN,,P,0.0,0.0,0.0,{C00179655},,C00179655,GIL CAMPBELL FOR PRESIDENT AND TRAVELING ROAD SHOW
P40001570,1984,"DIAMOND, JEROME J RABBI",UNKNOWN,,P,0.0,0.0,0.0,{C00180257},,C00180257,DIAMOND FOR PRESIDENT
P40001596,1984,"WOODHULL, VICTORIA",UNKNOWN,,P,0.0,0.0,0.0,{C00180745},1983-03-31 00:00:00,C00180745,COMMITTEE TO LEGALIZE LOVE CONTRACTS BETWEEN UNMARRIED MEN & WOMEN
