Date, Open, High, Low, Close, Volume
2/12/2018,63.226,63.616,61.25,63.146,31139109.53
2/9/2018,63.986,64.1969,58.952,62.084,64668599.03
2/8/2018,68.662,69.724,62.92,63.046,51572849.23
2/7/2018,67.798,69.2,67.132,69,34846194.48
2/6/2018,65.042,67.244,64.7,66.794,25442189.62
2/5/2018,67.594,68.894,66.6,66.626,22320734.67
2/2/2018,69.688,70.39,68.102,68.75,18524179.72
2/1/2018,70.2,71.932,69.726,69.85,20988434.69
1/31/2018,69.502,71.238,69.038,70.862,31070344.53
1/30/2018,69.028,69.654,68.434,69.164,23588499.65
1/29/2018,67.97,70.17,67.656,69.906,23735744.64
1/26/2018,68.3,68.8,67.142,68.57,22696779.66
1/25/2018,69.654,69.84,67.28,67.528,33701519.49
1/24/2018,70.916,70.95,68.704,69.178,26437389.6
1/23/2018,72,72.1,70.2,70.558,27327069.59
1/22/2018,69.88,71.566,69.84,70.312,31051799.53
1/19/2018,69,70.118,68.52,70.004,24441514.63
1/18/2018,69.134,70.46,68.748,68.914,28429224.57
1/17/2018,68.094,69.8,67.95,69.432,35517524.47
1/16/2018,67.508,69,66.96,68.012,32371254.51
1/12/2018,67.726,68.082,66.734,67.244,24125294.64
1/11/2018,67.048,68.962,66.652,67.59,33227419.5
1/10/2018,66.44,67.4,66,66.96,21549629.68
1/9/2018,67.032,67.76,65.481,66.738,35733154.46
1/8/2018,63.2,67.404,63.1,67.282,49297174.26
1/5/2018,63.324,63.448,62.4,63.316,22955899.66
1/4/2018,62.574,63.71,61.136,62.924,49731519.25
1/3/2018,64.2,65.05,63.11,63.45,22607634.66
1/2/2018,62.4,64.422,62.2,64.106,21761204.67
12/29/2017,63.236,63.282,62,62.27,18885774.72
12/28/2017,62.35,63.164,61.908,63.072,21581734.68
12/27/2017,63.2,63.536,62.15,62.328,23560554.65
12/26/2017,64.766,64.788,63.316,63.458,21892064.67
12/22/2017,65.902,66.1843,64.964,65.04,21079034.68
12/21/2017,65.918,66.748,65.442,66.332,21926109.67
12/20/2017,66.538,66.62,65.008,65.796,29768999.55
12/19/2017,68.052,68.2985,66.06,66.22,34124859.49
12/18/2017,68.98,69.346,67.516,67.774,27380829.59
12/15/2017,68.408,68.78,67.152,68.69,34665999.48
12/14/2017,68.202,69.488,67.38,67.578,28999579.57
12/13/2017,68.186,68.844,67.3,67.806,31107304.53
12/12/2017,66.09,68.288,66.006,68.206,43665994.35
12/11/2017,62.926,65.802,62.75,65.782,39689904.4
12/8/2017,62.92,63.396,62.252,63.026,17342289.74
12/7/2017,62.4,63.7268,62.21,62.248,23902984.64
12/6/2017,60.02,62.678,60,62.652,35976704.46
12/5/2017,60.4,61.6,60.2,60.74,23232599.65
12/4/2017,61.3,61.653,60.122,61.04,29175699.56
12/1/2017,61.088,62.064,61.01,61.306,21464339.68
11/30/2017,61.712,62.14,60.908,61.77,21757934.67
11/29/2017,63.46,63.6,60.246,61.508,43836989.34
11/28/2017,63.272,64,62.784,63.51,24747454.63
11/27/2017,62.65,63.468,61.902,63.362,22779469.66
11/24/2017,62.758,63.282,62.2,63.11,16220324.76
11/22/2017,63.354,63.484,62.368,62.52,24588179.63
11/21/2017,62.172,63.646,61.742,63.562,36306364.46
11/20/2017,62.758,63.1,60.95,61.748,41238244.38
11/17/2017,65.134,65.334,62.63,63.01,68675693.97
11/16/2017,62.798,63.628,62.26,62.5,29110364.56
11/15/2017,61.202,62.498,60.3,62.26,29893324.55
11/14/2017,63,63.27,61.38,61.74,28380379.57
11/13/2017,60.026,63.36,59.822,63.08,37924719.43
11/10/2017,60.5,61.672,60.37,60.598,23127144.65
